Unique ID	Card Unique ID	Card Name	Card Pitch	Card ID	Set Printing Unique ID	Set ID	Edition	Rarity	Foiling	Art Variations	Artists	Expansion Slot	Flavor Text	Image URL	Image Rotation Degrees	TCGPlayer ID	Image Hash Art	Image Hash Full																																				
qkzD8rHMJQ8KfLDnrWqfp	wr9wBtTWwRrPrdhCRHCdN	Rhinar, Reckless Rampage		1HP001	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Wisnu Tan			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP001.webp		270895	3573986783825880892	4556447382180844662																																				
fBn68z7H6kBqLWtPTWhNc	wNRqrHCn6rrKLhrDkqPwp	Rhinar		1HP002	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Wisnu Tan			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP002.webp		271311	1217030237697370009	4281733044066108530																																				
DRmMH66qjjNhPB7TKfLTP	NcQMQ79gb9P7CTMfWfBz8	Kayo, Berserker Runt		1HP003	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Jessada Sutthi			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP003.webp		270909	1339411623425144444	4259214226912505905																																				
gFFGW7qBfPNNJbzKCTMhW	PRzqJ97HHdM6f8bLKhGzQ	Mandible Claw		1HP004	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Jessada Sutthi			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP004.webp		270920	4654826028071287989	7672605191255135335																																				
cjCRT8KwQM9KGgq7CT8H7	PRzqJ97HHdM6f8bLKhGzQ	Mandible Claw		1HP005	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Jessada Sutthi			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP005.webp		270921	1570655441434388962	4553074148003397682																																				
gHpDqMrkhCNzt9Nwtwmpt	QT8JfjzmzqRR9MWgtgPLR	Romping Club		1HP006	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Wisnu Tan			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP006.webp		270927	3482327217059022939	4556448498337562907																																				
pfmzrNTL69LzFtMwLhm7Q	nkCCKCB8ftPdMCHHWHWtk	Scabskin Leathers		1HP007	rW8hnzQk9DFq89t6Gm9cH	1HP	N	L	S		Ksenia Belova			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP007.webp		270933	8787111243061194115	8893418031766881331																																				
hNhtPTmC9NbwdMnGjcpjd	dLhBfHW9rQGrQHqRrcQqG	Barkbone Strapping		1HP008	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Ksenia Belova			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP008.webp		270935	9005088662356003727	7668382862325109018																																				
qPJ7mNFLL7Mwr7MDKbzHW	dQB8pPfdFTDkKJwz9LQbD	Skullhorn		1HP009	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Yolanda Felicia			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP009.webp		270940	5540607538416687324	7956406511449457740																																				
mwwggPD9k7mkTQLh6hHw8	GgDFFHhLh8Kc7tJK8nBLj	Alpha Rampage	1	1HP010	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Adolfo Navarro			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP010.webp		270943	2572882263084097660	4557309397805678714																																				
